Alloys,Phase,Tg,Tx,Tl,Rc_mm/s,Dmax_mm,Predicted_Tg,Predicted_Tx,Predicted_Tl,delta_Tx,Trg,gamma,Predicted_Phase,Phase_Confidence,Predicted_Dmax_mm,Predicted_Rc_Ks
Al7.41Cr18.52Cu18.52Fe18.52Ni37.04,CMA,822,941,1373,NAN,NAN,819.59314,941.778,1371.1732,122.18487548828125,0.5977312924615925,0.4298851915203849,CMA,0.9973610220840802,1.0524482,54.63514323359525
Al8.57Co22.86Cr22.86Fe22.86Ni22.86,CMA,844,1012,1439,NAN,NAN,840.549,1013.9029,1433.1755,173.3538818359375,0.5864941100835445,0.4459216019841567,CMA,0.9973579621078082,0.90493804,74303.82197463694
Al8.3Co16.7Cr16.7Cu8.3Fe16.7Ni33.3,CMA,834,1000,1438,NAN,NAN,829.43695,994.8632,1426.6598,165.42626953125,0.581383842507318,0.4409665606343532,CMA,0.9975064392274722,1.0793405,604.4794690492876
Al6.8Co22.7Cr22.7Fe22.7Ni22.7Ti2.3,CMA,848,1017,1439,NAN,NAN,840.0795,1013.1773,1431.8081,173.0977783203125,0.58672633965399,0.4459627720325984,CMA,0.9975252117367781,0.78042215,72730.85112115504
Al5.88Co23.53Cr23.53Fe23.53Ni23.53,CMA,873,1048,1439,NAN,NAN,867.0197,1045.8043,1439.24,178.78460693359375,0.6024149691770847,0.45346338021157656,CMA,0.9972400851321342,0.90527266,74928.19115216499
Al3.85Cr19.23Cu19.23Fe19.23Ni38.46,CMA,840,1007,1438,NAN,NAN,835.5371,1002.76245,1429.5107,167.225341796875,0.5844916618789618,0.442711376044501,CMA,0.9974557979221933,1.0495168,620.8660377808908
Al3.3Co24.2Cr16.1Fe16.1Ni24.2Ti16.1,CMA,855,951,1335,NAN,NAN,854.86475,950.88153,1331.869,96.01678466796875,0.641853466207532,0.4348410154606053,CMA,0.9974032230131402,0.88874894,28587.781468816498
Al6.98Co23.26Cr23.26Cu23.26Fe23.26,CMA,820,930,1361,NAN,NAN,814.2894,931.1181,1360.6462,116.82867431640625,0.5984578537994372,0.4281129397628892,CMA,0.997521129764172,0.7663383,582.4388763734439
Al4.2Co21.3Cr21.3Fe21.3Ni21.3Ti10.6,CMA,863,1036,1440,NAN,NAN,855.4787,1031.4058,1431.8713,175.92706298828125,0.597455005971923,0.45091732581619093,CMA,0.9973677239855326,0.8189794,64236.97028631187
Al5.7Co18.9Cr18.9Cu18.9Fe18.9Ni18.9,CMA,829,994,1438,NAN,NAN,825.25885,990.4178,1422.1877,165.158935546875,0.5802741962147405,0.44068579346162834,CMA,0.997531642515619,0.7193014,623.3561329710387
Al6.2Co20.8Cr20.8Cu10.4Fe20.8Ni20.8,CMA,841,1008,1439,NAN,NAN,834.7186,1003.98004,1428.0383,169.26141357421875,0.5845211646973242,0.4436976927419705,CMA,0.9974211361535243,0.72794116,1413.252762927081
Al5.7Cr18.9Cu18.9Fe18.9Mn18.9Ni18.9,CMA,810,901,1335,NAN,NAN,806.3558,901.35175,1333.1963,94.9959716796875,0.6048289967059602,0.4212805854074726,CMA,0.997532203225333,0.7396049,576.8983662970863
Al11.11Cr22.22Fe33.33Mn22.22Ni11.11,CMA,800,835,1253,NAN,NAN,800.6949,838.7381,1254.166,38.043212890625,0.6384281468948022,0.4081726883731087,CMA,0.997415702626148,1.7652212,28466.51711310071
Al9.1Co18.2Cr18.2Cu18.2Fe18.2Ni18.2,CMA,821,924,1352,NAN,NAN,812.49176,920.87744,1346.1079,108.38568115234375,0.6035859043125272,0.4266087195460721,CMA,0.9973322972619074,0.43785226,555.6526618988538
Al9.1Cr18.2Cu18.2Fe18.2Mn18.2Ni18.2,CMA,814,871,1285,NAN,NAN,806.1772,864.35626,1280.2599,58.1790771484375,0.6296980736542883,0.41427382282186925,CMA,0.9974815896532003,0.6380133,52.42998677084507
Al3.51Co26.32Cr17.54Fe17.54Ni26.32Ti8.77,CMA,851,1024,1443,NAN,NAN,847.5706,1022.7215,1436.76,175.15087890625,0.5899180182597393,0.4477116772397976,CMA,0.9972629639597763,0.95410824,68121.86652767767
Al3.23Co24.19Cr16.13Fe16.13Ni24.19Ti16.13,CMA,855,951,1335,NAN,NAN,854.98926,951.0584,1332.0769,96.06915283203125,0.6418467695480379,0.43485580231704435,CMA,0.9974757284602755,0.88953966,28583.93667445895
Al6.3Co15.6Cr15.6Fe15.6Mn15.6Ni15.6V15.6,CMA,840,912,1302,NAN,NAN,829.236,905.1174,1297.1487,75.88134765625,0.6392760018076005,0.4256602150362326,CMA,0.9973914206496874,0.8337125,58236.499952904334
Al3.85Co19.23Cr19.23Fe19.23Mn19.23Ni19.23,CMA,842,981,1399,NAN,NAN,832.5928,977.45856,1395.522,144.86578369140625,0.5966174590950617,0.4386930964137063,CMA,0.997482505192914,0.82613766,75061.29548646833
Al1.96Co19.61Cr19.61Fe19.61Mn19.61Ni19.61,CMA,843,1011,1439,NAN,NAN,837.4309,1006.44403,1431.135,169.01312255859375,0.5851515772367765,0.4436476907238729,CMA,0.9975090182187545,0.95224655,74774.01519060467
