Tg,Tx,Tl,Rc,Dmax,Phase
397,422,770,NAN,0.5,MMG
388,426,667,NAN,6,MMG
387,412,678,NAN,4,MMG
394,426,701,NAN,1,MMG
383,409,682,NAN,4,MMG
388,420,711,NAN,2,MMG
385,407,713,NAN,1,MMG
431,453,683,NAN,13,MMG
383,428,702,NAN,2,MMG
389,419,671,NAN,0.5,MMG
387,419,696,NAN,0.5,MMG
378,415,660,NAN,4,MMG
379,427,650,NAN,6,MMG
380,400,666,NAN,0.5,MMG
375,410,630,NAN,6,MMG
367,399,657,NAN,0.5,MMG
420,460,NAN,NAN,1.5,MMG
367,399,657,NAN,0.5,MMG
380,400,666,NAN,0.5,MMG
387,419,696,NAN,0.5,MMG
389,419,671,NAN,0.5,MMG
397,422,770,NAN,0.5,MMG
399,428,714,NAN,0.5,MMG
385,407,713,NAN,1,MMG
394,426,701,NAN,1,MMG
396,428,687,NAN,1,MMG
377,412,659,NAN,2,MMG
383,428,702,NAN,2,MMG
388,420,711,NAN,2,MMG
387,430,798,NAN,2.5,MMG
383,409,682,NAN,4,MMG
399,436,680,NAN,4,MMG
406,439,655,NAN,7,MMG
379,427,650,NAN,6,MMG
388,426,667,NAN,6,MMG
401,442,690,NAN,8,MMG
379,427,NAN,NAN,1,MMG
404,440,NAN,NAN,4,MMG
401,435,NAN,NAN,4,MMG
399,426,720,NAN,2,MMG
400,438,678,NAN,6,MMG
508.2,523.2,NAN,NAN,2,MMG
392.2,416.2,NAN,NAN,4,MMG
395.2,417.2,NAN,NAN,4.5,MMG
397,438,682,NAN,NAN,MMG
400,442,663,NAN,10,MMG
383,421,650,NAN,10,MMG
393,440,676,NAN,6,MMG
448,484,745,NAN,1.5,MMG
447,491,822,NAN,1,MMG
431,485,748,NAN,2.5,MMG
399,440,673,NAN,10,MMG
399,440,673,NAN,6,MMG
503,528,NAN,NAN,1.5,MMG
400,442,663,NAN,10,MMG
378,428,650,NAN,10,MMG
375,412,640,NAN,10,MMG
393,440,676,NAN,6,MMG
447,491,822,NAN,NAN,MMG
401,450,757,NAN,2,MMG
399,441,654,NAN,10,MMG
393,435,663,NAN,8,MMG
395,434,678,NAN,10,MMG
403,449,746,NAN,6,MMG
398,428,NAN,NAN,7,MMG
383,430,723,NAN,8,MMG
421,477,806,NAN,2,MMG
408,442,817,NAN,2,MMG
397,430,810,NAN,2,MMG
411,441,731,NAN,1,MMG
395,434,678,NAN,10,MMG
394,437,707,NAN,10,MMG
379,430,717,NAN,1,MMG
373,439,636,NAN,10,MMG
373,428,628,NAN,10,MMG
403,474,703,NAN,4,MMG
403,469,773,NAN,3.5,MMG
384,437,625,NAN,10,MMG
395,427,702,NAN,2,MMG
436,487,813,NAN,0.5,MMG
391,406,731,NAN,3,MMG
383,412,706,NAN,8,MMG
393,431,717,NAN,3,MMG
375,412,640,NAN,10,MMG
401,450,755,NAN,NAN,MMG
411,441,731,NAN,NAN,MMG
392,421,828,NAN,2,MMG
399,441,654,NAN,10,MMG
403,474,703,NAN,NAN,MMG
403,469,774,NAN,NAN,MMG
397,430,689,NAN,NAN,MMG
379,430,717,NAN,1,MMG
373,439,NAN,NAN,10,MMG
393,437,NAN,NAN,1,MMG
395,427,702,NAN,2,MMG
416.2,456.2,762,NAN,3.5,MMG
392.2,448.2,NAN,NAN,9,MMG
416,456,762,NAN,3.5,MMG
489,521,NAN,NAN,2,MMG
493,528,NAN,NAN,2,MMG
493,520,NAN,NAN,3,MMG
488,515,NAN,NAN,3,MMG
407,449,803,NAN,5,MMG
417,468,776,NAN,2,MMG
409,450,854,NAN,2.5,MMG
401,444,835,NAN,3,MMG
400,435,655,NAN,6,MMG
392,448,786,NAN,9,MMG
425,443,707,NAN,5,MMG
401,435,658,NAN,4,MMG
399,436,657,NAN,8,MMG
382,428,NAN,NAN,1,MMG
424,468,798,NAN,1,MMG
352,406,723,NAN,2,MMG
346,393,731,NAN,2,MMG
352,413,721,NAN,3,MMG
352,423,708,NAN,5,MMG
340,421,713,NAN,10,MMG
352,419,716,NAN,10,MMG
363,414,695,NAN,8,MMG
