Alloys,Phase,Tg_K,Tx_K,Tl_K,Rc_mm/s,Dmax_mm
Al8.47Co16.95Cr16.95Cu16.95Fe16.95Ni16.95V6.78,CMA,821.0,923.0,1350.0,NAN,NAN
Al8.20Co16.39Cr16.39Cu16.39Fe16.39Ni16.39V9.84,CMA,822.0,925.0,1351.0,NAN,NAN
Al7.94Co15.87Cr15.87Cu15.87Fe15.87Ni15.87V12.70,CMA,822.0,927.0,1354.0,NAN,NAN
Al7.25Co14.49Cr14.49Cu14.49Fe14.49Ni14.49V20.29,CMA,835.0,906.0,1301.0,NAN,NAN
Al7.46Co14.93Cr14.93Cu14.93Fe14.93Ni14.93V17.91,CMA,837.0,916.0,1314.0,NAN,NAN
Al7.69Co15.38Cr15.38Cu15.38Fe15.38Ni15.38V15.38,CMA,835.0,919.0,1321.0,NAN,NAN
Al8.47Co16.95Cr16.95Cu16.95Fe16.95Ni16.95Ti6.78,CMA,812.0,901.0,1331.0,NAN,NAN
Al10.0Co20.0Cr20.0Fe20.0Ni20.0Ti10.0,CMA,802.0,860.0,1259.0,NAN,NAN
Al8.2Co16.4Cr16.4Cu16.4Fe16.4Ni16.4Ti9.8,CMA,809.0,868.0,1289.0,NAN,NAN
Al7.3Co14.5Cr14.5Cu14.5Fe14.5Ni14.5Ti20.3,CMA,778.0,805.0,1241.0,NAN,NAN
Al6.9Co13.7Cr13.7Cu13.7Fe13.7Ni13.7Ti24.7,CMA,781.0,818.0,1257.0,NAN,NAN
Al7.7Co15.9Cr15.9Cu15.9Fe15.9Ni15.9Ti12.7,CMA,799.0,839.0,1260.0,NAN,NAN
Al13.04Co17.39Cr17.39Fe17.39Mn17.39Ni17.39,CMA,803.0,843.0,1260.0,NAN,NAN
Al9.09Co18.18Cr18.18Cu9.09Fe18.18Ni18.18Ti9.09,CMA,812.0,860.0,1272.0,NAN,NAN
Al6.67Co13.33Fe13.33Ti13.33Fe13.33Ni13.33Ti26.67,CMA,798.0,863.0,1298.0,NAN,NAN
Al8.20Co16.39Cr16.39Cu16.39Fe16.39Ni16.39Ti9.84,CMA,809.0,868.0,1289.0,NAN,NAN
Al8.20Cr16.39Fe16.39Ni16.39Co16.39Cu16.39Ti9.84,CMA,809.0,868.0,1289.0,NAN,NAN
Al7.94Co15.87Cr15.87Cu15.87Fe15.87Ni15.87Ti12.70,CMA,800.0,835.0,1253.0,NAN,NAN
Al7.69Co15.38Cr15.38Cu15.38Fe15.38Ni15.38Ti15.38,CMA,836.0,803.0,1249.0,NAN,NAN
Al7.46Co14.93Cr14.93Cu14.93Fe14.93Ni14.93Ti17.91,CMA,812.0,786.0,1240.0,NAN,NAN
Al6.67Co13.33Cr13.33Cu13.33Fe13.33Ni13.33Ti26.67,CMA,786.0,826.0,1263.0,NAN,NAN
Al6.85Co13.70Cr13.70Cu13.70Fe13.70Ni13.70Ti24.66,CMA,781.0,817.0,1257.0,NAN,NAN
Al7.25Co14.49Cr14.49Cu14.49Fe14.49Ni14.49Ti20.29,CMA,778.0,805.0,1241.0,NAN,NAN
Al7.04Co14.08Cr14.08Cu14.08Fe14.08Ni14.08Ti22.54,CMA,781.0,814.0,1252.0,NAN,NAN
Al10.9Co21.7Cr21.7Fe21.7Mo2.2Ni21.7,CMA,841.0,1009.0,1439.0,NAN,NAN
Al11.11Co22.22Cr22.22Cu22.22Fe22.22,CMA,812.0,881.0,1302.0,NAN,NAN
Al12.7Cr15.9Cu15.9Fe15.9Mn23.8Ni15.9,CMA,799.0,840.0,1262.0,NAN,NAN
Al12.7Cr15.9Cu15.9Fe23.8Mn15.9Ni15.9,CMA,808.0,847.0,1257.0,NAN,NAN
Al7.0Co14.1Cr14.1Cu14.1Fe14.1Ni14.1Ti22.5,CMA,781.0,814.0,1252.0,NAN,NAN
Al13.94Co17.21Cr17.21Fe17.21Mn17.21Ni17.21,CMA,800.0,840.0,1260.0,NAN,NAN
Al12.5Co25.0Fe25.0Ni25.0Cr12.5,CMA,829.0,975.0,1412.0,NAN,NAN
Al11.1Ti11.1Co11.1Cr11.1Fe11.1Ni11.1Cu11.1V11.1Mn11.2,CMA,778.0,817.0,1260.0,NAN,NAN
Al10.71Cr17.86Cu17.86Fe17.86Ni35.71,CMA,812.0,918.0,1357.0,NAN,NAN
Al13.0Cr23.5Fe20.0Co20.0Ni23.5,CMA,820.0,896.0,1312.0,NAN,NAN
Al13.79Cr17.24Cr17.24Cu17.24Mn17.24Ni17.24,CMA,796.0,837.0,1261.0,NAN,NAN
Al7.94Cr15.87Cr15.87Cu15.87Co15.87Cu15.87Ti12.70,CMA,804.0,837.0,1250.0,NAN,NAN
Al12.5Co43.8Cr12.5Cu6.3Fe12.5Ni12.5,CMA,821.0,925.0,1352.0,NAN,NAN
Al9.1Co15.2Cr15.2Cu15.2Fe15.2Ni15.2Ti15.2,CMA,787.0,813.0,1240.0,NAN,NAN
Al11.1Cr22.2Cu22.2Fe22.2Ni22.2,CMA,811.0,902.0,1335.0,NAN,NAN
Al10.6Co21.3Cr21.3Fe21.3Mo4.3Ni21.3,CMA,847.0,1016.0,1436.0,NAN,NAN
Al12.7Cr15.9Cu23.8Fe15.9Mn15.9Ni15.9,CMA,806.0,849.0,1265.0,NAN,NAN
Al14.97Co17.01Cr17.01Fe17.01Mn17.01Ni17.01,CMA,797.0,833.0,1253.0,NAN,NAN
Al13.8Cr17.2Cu17.2Fe17.2Mn17.2Ni17.2,CMA,804.0,843.0,1258.0,NAN,NAN
Al13.3Co40.0Cr13.3Cu6.7Fe13.3Ni13.3,CMA,820.0,922.0,1350.0,NAN,NAN
Al11.11Co22.22Cr22.22Cu22.22Ni22.22,CMA,813.0,904.0,1333.0,NAN,NAN
Al14.29Co28.57Fe28.57Ni28.57,CMA,824.0,961.0,1399.0,NAN,NAN
Al10.4Co20.8Cr20.8Fe20.8Mo6.3Ni20.8,CMA,900.0,1105.0,1473.0,NAN,NAN
Al15.4Co15.4Cr30.8Cu7.7Fe15.4Ni15.4,CMA,801.0,848.0,1270.0,NAN,NAN
Al14.8Co21.3Cr21.3Fe21.3Ni21.3,CMA,822.0,903.0,1319.0,NAN,NAN
Al14.29Co14.29Cr14.29Cu14.29Fe14.29Mn14.29Ni14.29,CMA,805.0,842.0,1254.0,NAN,NAN
Al16.7Cr20.8Fe31.3Mn20.8Ni10.4,CMA,797.0,840.0,1264.0,NAN,NAN
Al14.9Co21.3Cr21.3Fe21.3Ni21.3,CMA,822.0,903.0,1319.0,NAN,NAN
Al15.97Co16.81Cr16.81Fe16.81Mn16.81Ni16.81,CMA,797.0,833.0,1253.0,NAN,NAN
Al16.67Cr16.67Cr16.67Fe16.67Fe16.67Ni16.67,CMA,811.0,852.0,1260.0,NAN,NAN
Al14.3Co42.9Cu14.3Fe14.3Ni14.3,CMA,792.0,884.0,1340.0,NAN,NAN
Al13.3Co13.3Cr13.3Cu6.7Fe13.3Ni40,CMA,820.0,925.0,1352.0,NAN,NAN
Al16.7Co16.7Cr33.3Fe16.7Ni16.7,CMA,814.0,856.0,1262.0,NAN,NAN
Al15.79Co21.05Cr21.05Fe21.05Ni21.05,CMA,809.0,861.0,1277.0,NAN,NAN
Al13.8Co17.2Cr17.2Cu17.2Fe17.2Ni17.2,CMA,812.0,880.0,1301.0,NAN,NAN
Al15Co25Fe25Ni25Cr10,CMA,820.0,905.0,1324.0,NAN,NAN
Al15.4Co15.4Cr15.4Cu7.7Fe30.8Ni15.4,CMA,808.0,856.0,1270.0,NAN,NAN
Al15.1Co18.9Cr18.9Fe18.9Ni18.9Ti9.4,CMA,798.0,830.0,1248.0,NAN,NAN
Al10.2Co20.4Cr20.4Fe20.4Mo8.2Ni20.4,CMA,905.0,1111.0,1473.0,NAN,NAN
Al16.7Co16.7Cr16.7Fe16.7Ni16.7V16.7,CMA,810.0,845.0,1252.0,NAN,NAN
Al16.67Cr16.67Mn16.67Fe16.67Ni16.67Ti16.67,CMA,784.0,845.0,1293.0,NAN,NAN
Al14.3Co14.3Cr14.3Cu7.1Fe14.3Ni35.7,CMA,820.0,927.0,1357.0,NAN,NAN
Al14.29Co14.29Cr14.29Cu14.29Fe14.29Ni14.29V14.29,CMA,776.0,820.0,1268.0,NAN,NAN
Al15.38Co30.77Cu15.38Mn7.69Fe15.38Ni15.38,CMA,789.0,875.0,1330.0,NAN,NAN
Al13.79Cr17.24Cu17.24Fe17.24Ni34.48,CMA,809.0,876.0,1300.0,NAN,NAN
Al16.7Co20.8Cr20.8Fe20.8Ni20.8,CMA,802.0,849.0,1270.0,NAN,NAN
Al13.8Cr17.2Cu17.2Fe17.2Ni34.5,CMA,809.0,876.0,1300.0,NAN,NAN
Al16.6Co20.8Cr20.8Fe20.8Ni20.8,CMA,802.0,849.0,1270.0,NAN,NAN
Al15.38Co15.38Cr15.38Fe15.38Ni15.38Ti23.08,CMA,783.0,837.0,1282.0,NAN,NAN
Al15.4Co30.8Cr15.4Cu7.7Fe15.4Ni15.4,CMA,812.0,877.0,1296.0,NAN,NAN
Al16.7Co16.7Cr25.0Cu8.3Fe16.7Ni16.7,CMA,796.0,836.0,1260.0,NAN,NAN
Al17.50Co7.50Cr25Fe25Ni25,CMA,802.0,849.0,1270.0,NAN,NAN
Al14.9Cr21.3Cu21.3Fe21.3Ni21.3,CMA,804.0,844.0,1259.0,NAN,NAN
Al18.2Co9.1Cr9.1Fe9.1Mn18.2Ni18.2V18.2,CMA,774.0,819.0,1270.0,NAN,NAN
Al17.2Co17.2Cr17.2Fe17.2Ni17.2V13.8,CMA,796.0,836.0,1260.0,NAN,NAN
Al16.7Cr16.7Cu16.7Fe16.7Mn16.7Ni16.7,CMA,793.0,832.0,1260.0,NAN,NAN
Al15.4Co15.4Cr15.4Cu7.7Fe15.4Ni30.8,CMA,813.0,878.0,1296.0,NAN,NAN
Al16.7Co16.7Cr16.7Cu8.3Fe25.0Ni16.7,CMA,807.0,853.0,1269.0,NAN,NAN
Al14.29Co14.29Cr14.29Cu14.29Fe14.29Ni14.29Ti14.29,CMA,776.0,916.0,1262.0,NAN,NAN
Al16.67Co20.83Cr20.83Cu20.83Fe20.83,CMA,830.0,797.0,1250.0,NAN,NAN
Al16.4Co16.4Cr16.4Fe16.4Ni34.4,CMA,811.0,891.0,1318.0,NAN,NAN
Al16.7Co25.0Cr16.7Fe16.7Ni16.7Ti8.3,CMA,792.0,824.0,1248.0,NAN,NAN
Al16.67Co16.67Cr16.67Fe16.67Ni16.67Ti16.67,CMA,779.0,820.0,1263.0,NAN,NAN
Al16.67Cr16.67Cu16.67Fe16.67Fe16.67Ti16.67,CMA,777.0,834.0,1287.0,NAN,NAN
Al16.7Co25.0Cr16.7Cu8.3Fe16.7Ni16.7,CMA,807.0,854.0,1269.0,NAN,NAN
Al20Co16Cr16Fe16Mn16Ni16,CMA,796.0,835.0,1259.0,NAN,NAN
Al20Ti10V10Cr10Mn10Fe10Co10Ni10Cu10,CMA,788.0,850.0,1294.0,NAN,NAN
Al18.4Cr20.4Cu20.4Fe20.4Ni20.4,CMA,792.0,827.0,1253.0,NAN,NAN
Al16.67Co16.67Cr16.67Cu16.67Ni16.67Ni16.67,CMA,804.0,863.0,1288.0,NAN,NAN
